userID,reviewID,prediction
u77355739,r70788666
u53026717,r37995274
u95074956,r45752314
u17720317,r18909450
u24337609,r97285198
u84446853,r18128121
u77934442,r19683555
u46994433,r57892235
u76052688,r75239932
u77572964,r19137886
u30524191,r86682698
u34964666,r25793200
u32755667,r71295556
u37350809,r05674779
u22774461,r17410754
u86136418,r13693906
u12995557,r17059822
u93213092,r30606604
u92620901,r81941804
u85773811,r51662671
u49111607,r00843931
u71274946,r48250503
u98062543,r51364715
u46747627,r95310813
u75745767,r04129933
u29313432,r87951398
u64308186,r74844033
u87194638,r87727662
u54948977,r52302697
u21971030,r50161186
u62678088,r58917053
u99754193,r83995684
u48138333,r48480964
u06877196,r44954404
u55337495,r32932744
u33165497,r83233882
u39907664,r75584751
u02389632,r91396278
u79333272,r36026483
u44490341,r33514963
u61701884,r69013523
u17406464,r74713034
u53216120,r11139392
u18385366,r71347354
u72500523,r03785605
u47685184,r42091242
u48307826,r32755188
u36700426,r64962972
u53582042,r35131412
u80291165,r08259467
u02289334,r63601231
u83831499,r48004531
u82054247,r11076742
u68025408,r71195050
u43042546,r88488605
u14274666,r35706178
u55179981,r63044678
u08022074,r04254589
u68844743,r40667150
u07892284,r40832550
u19426763,r08705704
u05310530,r35102727
u08579591,r04525806
u47785211,r95487654
u96523087,r97899155
u99020810,r20240579
u28053138,r40708643
u52435967,r02657550
u20311143,r93480743
u87327967,r70564143
u03896300,r31141025
u76489876,r92464890
u04482638,r12261157
u76027846,r31647692
u88745305,r37048810
u54140810,r78283459
u91368942,r92656969
u93626278,r86750596
u53736369,r13455270
u58319124,r74859145
u93221990,r41311859
u06841407,r84093865
u95609691,r26418273
u98531480,r38658915
u21646465,r62451488
u11054586,r65043546
u06756266,r75103445
u31378035,r81920029
u34207689,r29893274
u31739094,r46215661
u84871671,r33137393
u90347949,r42089892
u00345370,r12119044
u96644728,r84306939
u77862081,r43883697
u89556001,r18214138
u79366353,r44551018
u15345101,r37555164
u95542855,r78871377
u46184607,r91107922
u76236787,r32349311
u68695949,r56174013
u68581168,r83774088
u86866318,r24808466
u44382583,r50692144
u62422683,r85278551
u49259625,r29598827
u89091938,r07644258
u34530511,r34985911
u39371673,r27745756
u14162455,r64897968
u36561206,r45120507
u39476701,r31073843
u89004977,r05811651
u98286495,r41906392
u83193356,r72176723
u82042594,r93640076
u47339318,r95554143
u69292244,r30333820
u21988237,r67238879
u17792986,r69662923
u99879513,r05538222
u14809832,r62309229
u77382613,r58473332
u66715772,r30952647
u30986930,r32906588
u50786545,r77085684
u55399317,r85688716
u43374129,r07502285
u36763989,r13996440
u19875382,r14374650
u19017007,r52434478
u65149918,r92636842
u80539186,r59817789
u61146966,r01465453
u74324910,r73862728
u90951612,r53199845
u63153690,r98507326
u72866399,r76052164
u22508235,r38715870
u92568476,r88205450
u81312358,r01600799
u79397163,r07293912
u19980096,r04053014
u19292188,r96688922
u92401608,r83741385
u30021050,r33667435
u78659524,r32298146
u77582998,r77472572
u71819398,r26818157
u17510855,r83630761
u66291936,r26480427
u20264336,r18283093
u49279018,r97701239
u16774363,r72520061
u26643833,r90551291
u42134849,r41572498
u60249816,r35721707
u09308222,r87118173
u67509510,r23995728
u42562139,r41596135
u75786250,r17380239
u21121119,r07485666
u43916440,r04544666
u89860832,r26655316
u90800014,r26523689
u34850800,r37153948
u06973759,r48782917
u16724692,r85670006
u03949747,r89001484
u33849866,r24954497
u75509055,r00899446
u26221671,r02858313
u38459362,r38774067
u66543807,r37536585
u88440123,r62537402
u72145920,r88078650
u68254526,r88296206
u85773811,r43775693
u68581168,r02502060
u15165400,r38980020
u45922664,r62249300
u89746001,r74012585
u20523575,r40400128
u30307290,r19690186
u05465234,r73831248
u39973207,r93353003
u24317181,r08169772
u51554338,r85795804
u67178812,r01729276
u32703607,r66914510
u74441795,r12160509
u36189340,r75223803
u27141962,r35692160
u34639606,r55172522
u34699403,r18333238
u32888017,r09756737
u95803602,r54495787
u32467045,r71608983
u24157680,r12631937
u80610166,r17495543
u01069679,r62784248
u18883275,r88036921
u04750562,r23754216
u51639460,r51281455
u55474880,r07840557
u11925469,r78315270
u52061553,r62765799
u60013623,r61913934
u05254761,r18759414
u89991178,r85204859
u31836668,r40013079
u14372247,r81975069
u26968823,r89545102
u00522184,r23030519
u88715356,r41701253
u88216348,r02061987
u86673714,r95417010
u73044916,r43746935
u98742402,r89995334
u70822782,r22061561
u73105192,r96938514
u55448264,r01370151
u38222613,r63646146
u36412358,r62916505
u24372896,r16636427
u19876091,r58800968
u20741612,r27535832
u95595335,r75734461
u93337461,r87727732
u24319287,r05973261
u50594981,r08358705
u40698612,r21337238
u24820802,r75042300
u25751396,r04805316
u18548470,r14689417
u62980270,r16882133
u32202780,r36115331
u45177104,r01340091
u18316924,r60147799
u44380622,r25236355
u15209048,r33899283
u37012620,r69803684
u25792397,r04247769
u75867537,r98813734
u05948037,r92493905
u50146333,r09883600
u05744674,r30665907
u23729168,r88733774
u10342091,r97830511
u75691823,r07576374
u73418508,r03605053
u23758482,r87724845
u29195270,r40703528
u37172328,r76476654
u40772083,r70317595
u31966756,r28394793
u32909170,r25880388
u32076075,r52640034
u38062817,r54818011
u54533992,r54803612
u75959390,r82749348
u26474410,r85217794
u82655249,r03001615
u46887286,r87380548
u85914447,r92372001
u43598077,r07033153
u67460405,r74866457
u62525807,r50053802
u65255742,r30506250
u31779061,r93908354
u21973097,r53401309
u12519201,r50806976
u56024100,r40587410
u59613713,r15578375
u27241665,r53099041
u69194577,r67159170
u24797291,r48279237
u59540398,r29332772
u33766876,r42861356
u63299569,r98540011
u41966708,r48742953
u37195847,r35185370
u02626280,r28050142
u82671956,r89651753
u56415621,r59551926
u63981721,r89593409
u63617494,r04432489
u86652306,r88492435
u09963532,r74334276
u47436831,r06621024
u56814135,r27006498
u29494242,r84675465
u18224792,r29254370
u02510786,r99009049
u02509473,r87577794
u37087004,r82490216
u46936528,r85491247
u36308489,r89730448
u15960517,r91835785
u46887286,r06829237
u65567300,r83108085
u13591974,r86888264
u38905697,r84053334
u88949168,r60857746
u83730212,r10812530
u12540412,r86157863
u43077889,r09194035
u19953047,r41686338
u71657250,r68764119
u59384738,r76670236
u90174295,r86360933
u81361897,r72056876
u20358721,r04627748
u69333746,r36148790
u86788923,r37462502
u03429069,r52174525
u86645713,r38003577
u96463008,r63740676
u65686655,r61244708
u34353659,r66744835
u10628548,r73745592
u09196580,r20036797
u17321760,r22495304
u71298199,r30577338
u00907212,r07787204
u53152297,r54037193
u62089552,r52229915
u26145024,r46531750
u53972572,r79569099
u92458142,r35682255
u42478159,r71581994
u06743317,r60743848
u53143287,r36817077
u72019166,r38653585
u14995549,r45498118
u88992465,r28730216
u17547243,r43615680
u22837655,r99563552
u75951581,r07383980
u97595947,r81298962
u31449048,r48798444
u37553683,r58220026
u19187034,r81635057
u69600216,r51701119
u19205889,r57238883
u28298880,r77572662
u62727857,r63921514
u42122843,r26173082
u19502752,r83362524
u04365808,r01574145
u57703859,r12236145
u03720096,r77399227
u26494681,r73643999
u39388743,r23174919
u23709095,r11033698
u46442136,r42633307
u50255880,r34375754
u53158419,r97545790
u21160671,r49196082
u46425432,r73637442
u61531700,r65521783
u83575807,r07295109
u34964666,r42979296
u18164608,r81882916
u34132956,r13292887
u49539590,r68634360
u83244327,r32472754
u50435847,r45579613
u03417038,r61717089
u37828477,r04807286
u74285983,r76078997
u84988274,r38848600
u68769571,r89454996
u19997475,r37957827
u23610407,r60616386
u79927373,r34198088
u21560019,r28594045
u19359999,r14170597
u95584031,r51832614
u50500754,r82950741
u11851783,r70007642
u28894278,r00019935
u37689928,r22549462
u80157434,r59244064
u28470508,r85257323
u19935373,r18951692
u03452656,r76920349
u09471946,r49606690
u59891502,r22511296
u98265176,r60387912
u60483352,r55305591
u54281143,r59910698
u94962383,r15468963
u20141354,r26999545
u55372063,r60387771
u78849646,r82489232
u37259062,r72054380
u18116932,r92186730
u92177581,r78395718
u33151368,r05256262
u60695654,r48871862
u22771375,r09580736
u88390361,r71209192
u41736182,r97557886
u50209717,r17410079
u03178423,r98756718
u83622711,r65131565
u21561653,r52947468
u02359499,r91644614
u72564337,r61193404
u76921614,r70411894
u51733361,r01338608
u25645059,r29419030
u53292514,r90585259
u50076510,r83943777
u82230257,r92418506
u09627572,r43804742
u93223998,r50174742
u39967634,r45694911
u38374943,r67881025
u98262601,r87524637
u66281467,r45481966
u99943028,r93107040
u39854341,r54092976
u13891964,r16821822
u21121119,r92548868
u73737542,r99235839
u60297317,r35293291
u46666073,r67332751
u13167150,r64953544
u51234209,r13930072
u51247820,r01385392
u67731965,r18962427
u84025547,r17751635
u56540396,r49579019
u11169366,r99709524
u44490341,r00952883
u63098859,r32206087
u45749744,r17304743
u43767974,r27933786
u07723628,r24687436
u04675296,r11601472
u59740006,r89723003
u64474955,r47309692
u61495778,r51467665
u14637923,r98278991
u81090861,r85654205
u29535262,r32339137
u00482526,r58829717
u34144502,r04651370
u89872109,r55262681
u88501323,r37162386
u19600980,r15192035
u14101057,r58931722
u21505866,r79692458
u96281563,r43476601
u32753230,r33338385
u80481355,r97644815
u28761359,r99180881
u72571097,r66010936
u49174287,r43981672
u77711543,r86610905
u91573457,r09647686
u17526590,r77276487
u41884315,r23620430
u84144985,r11114228
u09157955,r35808066
u86050588,r51612477
u43982015,r96690370
u17328907,r43317156
u33959395,r37660991
u88688467,r13868256
u99317439,r18401537
u36137641,r70948056
u86908491,r58761526
u18057269,r81051932
u69781838,r32948860
u33244629,r05714831
u75498528,r00323523
u74789966,r32529209
u44162613,r37068488
u65177536,r91836397
u99273680,r80371877
u41938801,r57154723
u87621021,r54709856
u68133550,r17369422
u64030538,r16586013
u38703301,r62318536
u27815279,r95030807
u44287884,r35230093
u43965256,r68768581
u61695416,r45112288
u41676836,r03688514
u45926763,r92379896
u65459478,r69222901
u88711625,r61245911
u63660642,r67590109
u04184419,r52396498
u24086076,r17854280
u17745540,r37662868
u41561970,r75682355
u89616697,r90397199
u76432767,r49057903
u90716480,r20845963
u20607408,r83008391
u84763482,r89807340
u89392440,r55957804
u57507741,r92377427
u94369827,r23973237
u51254298,r72463609
u40757273,r92920719
u14691380,r33981571
u36831591,r96139993
u75708667,r13708048
u09488174,r32121997
u57366168,r54335193
u68396257,r32289882
u23629141,r90429934
u39061646,r86441047
u56734211,r18595123
u63085651,r44161207
u93910084,r25633667
u82571416,r60393799
u44465203,r63020362
u13721334,r19084928
u54864300,r71878237
u79450527,r86889380
u51951892,r62510743
u21078204,r03031255
u19785519,r53394591
u58394574,r66093822
u36675071,r10575232
u38523064,r79470772
u72111602,r99412342
u80756007,r83472254
u53370424,r23878607
u96999276,r90535269
u42785381,r01151949
u81720460,r25992205
u29616618,r45678062
u72451174,r59988660
u70803220,r76260869
u75507263,r04444797
u34690014,r85505217
u57830091,r31628681
u25841705,r99858565
u01688906,r81518130
u07071227,r34025696
u54899746,r88260954
u72671415,r09344412
u55052961,r85067118
u27124875,r12475178
u33904671,r75332802
u00522184,r60289974
u80227099,r66316757
u75144451,r65968852
u84275273,r07071075
u85570959,r73235530
u49921581,r27849581
u02297222,r91307439
u50146194,r98487611
u73075025,r96224875
u76712934,r17886288
u21415006,r96920764
u58479940,r24637857
u70987592,r83199699
u04619464,r58577317
u22375910,r76817402
u92340348,r98246544
u46956832,r87473250
u92294406,r72299072
u33280805,r61258818
u43881473,r14965267
u96543288,r69492586
u24495879,r85013469
u29937384,r34988233
u79204538,r93790771
u43192050,r86407494
u24321918,r22493994
u95262945,r17443074
u22571573,r58136087
u43637933,r71431449
u46254491,r75423432
u07000588,r73939301
u92363536,r41167679
u73436902,r47735238
u33018843,r33114215
u87354596,r75119953
u01919317,r58688063
u02463919,r94089364
u11741383,r74131450
u72528783,r12820138
u37513841,r78847826
u34942563,r72796208
u20600457,r27755268
u07727493,r81005618
u70100884,r52376630
u30993457,r54302000
u22386658,r97582468
u87528483,r49504320
u33972743,r80342960
u76554866,r62971109
u98771015,r81626953
u57025787,r38180031
u57041390,r32797257
u20262608,r81891362
u14662412,r55631785
u59274299,r37653435
u63115188,r79955560
u03431359,r18121309
u11404941,r67353405
u21695685,r75507718
u06719601,r59872700
u98091118,r48879484
u82788889,r80179482
u82771255,r60101462
u48440353,r78674279
u90867869,r97602612
u84280661,r68419490
u50778577,r94524258
u55021284,r97009869
u96034485,r14282505
u99702250,r94390052
u00783805,r77680149
u24125032,r05876671
u81731830,r45130594
u33249794,r94934002
u56749969,r68351648
u41120194,r16528124
u63108462,r75836087
u62539466,r71619502
u96456604,r53228100
u98371631,r69139655
u93723903,r85090629
u70536415,r33441709
u32645352,r66738911
u73501286,r57167411
u05316862,r60487257
u45225946,r79212465
u49315818,r80470401
u38821416,r13230842
u89559671,r70152721
u17330967,r53430179
u25290350,r28445658
u87649919,r87985077
u42783286,r11876457
u06319768,r00557275
u78685606,r42254097
u81363634,r74008619
u37967192,r20265285
u25327002,r69267576
u43960933,r96189550
u11545929,r09470634
u50758189,r11510883
u57289499,r69849335
u34739050,r57849597
u37930664,r56635265
u53569113,r49665421
u79392813,r77844224
u15762955,r13627058
u90380363,r49652709
u77561509,r87120688
u30879161,r21959962
u90717326,r23207509
u27583896,r56173739
u96483822,r74654792
u76431248,r43953555
u44233952,r07725939
u03423567,r89600207
u97359472,r70525542
u13510195,r69540246
u27992136,r23142442
u96835526,r43719906
u80055027,r85761681
u11733188,r21129353
u22714241,r47872402
u17707119,r64379325
u13624293,r85255417
u63857807,r42965186
u59967576,r63312480
u71479728,r59490500
u70119162,r31436642
u93211470,r53599669
u39246299,r13053485
u86039001,r66896624
u57434687,r61241397
u94997177,r84613495
u28733977,r15166212
u20239644,r95829859
u80924084,r01510596
u52288948,r21102691
u98303324,r30368141
u78087282,r54989119
u66731767,r36537432
u01654010,r95675553
u47512906,r65309485
u52535755,r79576304
u26145024,r00386038
u94179240,r04520549
u02735785,r87463587
u59551864,r13711900
u17110049,r77440268
u90641494,r99887087
u22335350,r04863899
u43500913,r73648796
u72867780,r65871650
u95817941,r88524823
u51979419,r51645809
u38435998,r09385389
u86666502,r65507984
u03602818,r78368498
u62122614,r12662052
u23636447,r96919087
u09082826,r36378732
u74584849,r90454385
u38255213,r40644178
u41144446,r94025338
u20434059,r29799501
u21640498,r98558580
u50426053,r41611784
u25842347,r77358463
u77852894,r70865718
u77282059,r85213905
u79062999,r64904618
u35450375,r33712282
u27369277,r11996234
u20079271,r64472744
u73604906,r19777791
u62092247,r54037678
u71071759,r15770720
u20197120,r19743915
u42528828,r00866737
u62425331,r95758359
u14091436,r69971572
u14457893,r91298407
u05621355,r85657472
u95874832,r78566512
u15970386,r61352365
u49884515,r34720135
u82291640,r67688471
u62934204,r57065920
u52817099,r02189725
u72682074,r92519458
u58562723,r78598804
u24531186,r71769437
u57830091,r33747312
u17975832,r15937103
u40258391,r22577466
u56887061,r87814874
u41491748,r59036628
u69456508,r87558330
u56639638,r52593608
u36889460,r51072949
u17531281,r24661169
u13243167,r00703054
u86353698,r53735490
u79779306,r93835375
u10211216,r51093419
u84025547,r75555029
u82231863,r06583451
u68860914,r88084201
u53718448,r78779227
u21497070,r47085407
u94131980,r22287283
u41966708,r27801870
u13528138,r98209581
u27676129,r15880115
u18791028,r12910890
u57717717,r75202875
u58792313,r90121938
u75579784,r91991636
u19613143,r59816829
u38188722,r77738177
u76139851,r98713608
u89521491,r44174504
u01248432,r92903933
u01166998,r15339223
u24259935,r75654965
u99987325,r22991121
u42182958,r82276015
u48998435,r28213201
u44347126,r09884824
u73987949,r98553593
u02991339,r31325988
u65534501,r73933341
u91704636,r81684177
u21859054,r69824099
u23913066,r23629564
u37990040,r42420093
u92432529,r13641435
u46205523,r35865451
u36308489,r10814054
u01838153,r38025179
u37667882,r31282335
u27585754,r09196238
u55924589,r19706267
u52280480,r12615920
u48874438,r68422075
u83857471,r90429866
u16440587,r02458241
u75521426,r30393598
u09507345,r65850718
u25825005,r21580011
u72975201,r52989067
u74446146,r39101811
u58805365,r21080469
u65496315,r39411728
u22099286,r59454746
u61017611,r70076314
u19716305,r16694888
u56096830,r08522955
u78998939,r36326971
u02913418,r57681160
u79289822,r13086521
u05399533,r36603062
u23858936,r08596654
u75162684,r46392964
u65706288,r12343599
u57679278,r36571952
u19406835,r54015343
u07010422,r74157143
u17092619,r90402299
u34780765,r37975952
u87081616,r02620846
u62106439,r29742265
u07914828,r69472292
u93242672,r52070053
u93961145,r55502965
u49465206,r82312940
u65681890,r49002763
u96661297,r42291281
u24621608,r20132034
u16603075,r51867781
u61530639,r12823222
u00572577,r13533914
u12010212,r94515751
u28299611,r42752434
u52661735,r58702725
u47624661,r56165288
u21188040,r88383327
u12074364,r50158087
u34378849,r95418067
u09145189,r10914695
u01940528,r53258817
u79323303,r30101669
u24306718,r79541582
u73748037,r98172235
u60771044,r32744832
u83597601,r81650532
u81309602,r99760089
u69914610,r16747186
u60761417,r84516468
u32919293,r83373441
u76486998,r33996029
u49351387,r96874009
u19359999,r02315421
u34676960,r48009143
u67023330,r99204518
u74531901,r60686827
u96219741,r45270668
u21668173,r00284584
u28115626,r55294346
u72175536,r78374577
u88430710,r82635653
u46649469,r31271811
u39537500,r25776243
u96426328,r25470988
u79081695,r12482379
u08276762,r99159838
u16612878,r78366123
u95307885,r38044692
u89753265,r85133583
u61351522,r96186066
u66172099,r56694147
u82171876,r77581954
u04786513,r86819384
u18817816,r00815273
u42758578,r47184939
u46913892,r73696439
u66372264,r38354213
u78389700,r69733411
u42841504,r85914750
u21919659,r32394004
u25295536,r74467424
u32299704,r12746661
u63222457,r09483443
u07376985,r83258349
u54887464,r15165427
u23593217,r83854873
u96005298,r11683171
u58745212,r73237928
u93616895,r06377491
u12774935,r02789104
u89912447,r48152154
u19455501,r29714419
u37912158,r62503836
u92776569,r92307263
u98161178,r98786550
u74980305,r02930657
u48628868,r96599128
u80607035,r60388687
u13670901,r38530676
u44185465,r23140805
u34724688,r52010799
u40777063,r57224441
u20009959,r91524485
u65024690,r13895209
u24892312,r81107009
u99389904,r91507865
u88318914,r76692470
u16288700,r24187740
u57851608,r97588441
u76817085,r78035964
u79076600,r24395759
u91798112,r45673448
u37462952,r05335419
u90233076,r35893160
u68860914,r49462169
u69790814,r42613904
u86039781,r91083219
u22469457,r25405751
u23135774,r98097251
u45376214,r14024220
u02956746,r74354391
u05296785,r26075332
u57830091,r59492809
u29762268,r40294640
u36329558,r87432898
u52709875,r67361438
u63824227,r23768918
u53370424,r35549008
u51815304,r12588097
u45071547,r45420962
u85119600,r78973375
u65728534,r95870049
u43737912,r20229173
u82422854,r26200452
u09030946,r41031717
u51245976,r66170224
u10619821,r86866825
u40947021,r47872037
u30558700,r80470766
u07083792,r28854168
u87495917,r63830545
u19659004,r94078221
u85697519,r62011589
u99437440,r57598390
u11321831,r58251536
u37480517,r87442958
u29739524,r43720372
u52974434,r77626324
u09359094,r93316533
u88688467,r65908182
u04235603,r12841711
u82865200,r21765552
u65597186,r23585095
u40284239,r57724779
u12706784,r94459582
u36402854,r23755008
u65682492,r84101093
u36409095,r01773380
u21719540,r04343302
u84481687,r36643938
u23038171,r68563623
u39851131,r35327107
u65948054,r15062894
u98544769,r34107575
u54819573,r74572181
u76021833,r49741276
u40158287,r27389708
u02062618,r16004720
u75770119,r52087292
u30216930,r29186360
u59649934,r22537970
u43457290,r99461838
u22452431,r63131771
u43078570,r55668826
u75316003,r84836977
u43891083,r88144021
u50423139,r82840716
u46995912,r34524087
u60639121,r21782275
u72646099,r90629996
u90094839,r71244176
u28681914,r86051136
u41551166,r69178631
u44742977,r50859702
u75692274,r13088470
u88657627,r85496874
u48854466,r15954150
u83475103,r21416214
u80543092,r94006138
u90717326,r64341068
u24372896,r27861411
u22521987,r39183993
u20880114,r62200658
u48882396,r57034566
u84525568,r79151662
u52881301,r06338491
u90356238,r89559454
u06033012,r06817836
u94791520,r57176750
u82968641,r32213381
u18707926,r40826867
u80604758,r79914706
u12526109,r85083667
u61692780,r84848074
u20532707,r97805731
u73075025,r28671906
u27659103,r87492771
u58406468,r16132755
u66865962,r87259508
u35441885,r14065696
u99196440,r29083452
u30821354,r24780228
u22616074,r19705678
u03156869,r88906969
u74149025,r17336666
u38881483,r78613838
u34523961,r97940622
u53105668,r34977901
u20239644,r16867755
u78491820,r93501673
u68496329,r60774267
u08632221,r20216993
u02571134,r69567289
u33970289,r51636276
u57834942,r59270361
u14964780,r01475775
u19931037,r09150577
u89964134,r08057093
u09119380,r62757874
u49572882,r20517290
u62569758,r76524803
u51752696,r73887334
u95617588,r75109736
u28373883,r25467893
u93102216,r38304327
u96594790,r09745988
u27732154,r41243662
u68661794,r91206421
u18583451,r58700010
u54509969,r27149952
u44781454,r02307591
u43961979,r38406275
u34728435,r66730285
u23514968,r68575448
u34916729,r39679358
u08625479,r73393401
u65735451,r91574970
u49922808,r12240480
u63157308,r76998496
u76886385,r04809962
u38738313,r79346632
u96858961,r61465814
u09308222,r32973580
u70167097,r94315974
u01919317,r75800074
u86731282,r50266683
u34964666,r21666522
u92908855,r78953825
u65132880,r48721402
u76236787,r06018031
u07247118,r47792696
u83836303,r79927864
u46389046,r73154875
u74272342,r14484102
u60612766,r54346074
u54869039,r14797891
u92327028,r25493020
u27090305,r89575447
u29301963,r72173154
u18374496,r66498072
u39246299,r02313493
u40494871,r90231227
u59406301,r12921318
u42968665,r52298278
u82230257,r15933381
u13395970,r27356003
u04214752,r77312092
u92203105,r03721747
u18526112,r96109959
u56304766,r64371305
u94693910,r48854409
u40132847,r64767420
u80354802,r60289024
u97483696,r23645432
u08103619,r23580545
u26846054,r61275217
u46382257,r23768085
u76492538,r91056310
u59987027,r97111155
u85752490,r43864776
u43607227,r11202299
u63782680,r35549778
u37049423,r44111412
u77929916,r88003166
u47294288,r04225533
u08515457,r11280202
u27943264,r35892484
u87104542,r92910414
u44211040,r95758880
u61502660,r66226250
u97205379,r99551317
u81418513,r71021433
u25063270,r21516918
u50110322,r57033096
u04069354,r10690919
u09119380,r39026666
u42973591,r49623798
u93253691,r84022694
u74075051,r41779401
u96120981,r25926897
u40781708,r14029217
u96826807,r51637521
u25549601,r73539842
u32129243,r46475555
u84537391,r04001467
u75821340,r83679598
u87293615,r65487399
u88745305,r33993353
u54955878,r86203923
u73894829,r55281257
u06182498,r53437521
u55581400,r23870408
u91895302,r41843496
u13494007,r29164122
u23692066,r22784423
u37882209,r97050872
u14670644,r45443842
u44531051,r34581929
u31370256,r12056595
u27641662,r38132799
u91011822,r15798552
u87077316,r19081528
u64809434,r41302433
u15141473,r07386392
u08954094,r84893980
u05068594,r69651985
u58315716,r37516775
u41162044,r18651664
u11722992,r81543053
u43226905,r86251132
u94548135,r86473584
u69258104,r33747849
u16048782,r77383327
u97874516,r47783418
u30392680,r82266140
u44796385,r67869142
u47962427,r05764612
u16311146,r43053097
u02617475,r58529354
u69556808,r86904112
u64773439,r38684360
u91862507,r03537954
u81733773,r99615376
u10957434,r16294374
u02434847,r51794596
u44555278,r39393411
u23642363,r03476480
u01919317,r43146470
u19947485,r35671983
u12642070,r89204005
u07636724,r42046361
u51629186,r48968726
u10680398,r80030772
u05500949,r39607401
u03794341,r00551143
u80650029,r13027983
u42716599,r37622091
u56161906,r21067823
u34478770,r83176749
u00769106,r92766682
u07464583,r89597527
u91225621,r11842366
u24554928,r59524394
u75352113,r45461680
u05218476,r07433387
u64089397,r59780402
u62910026,r12754765
u79545981,r71461623
u43206483,r87088590
u23720133,r89225298
u72849820,r14616292
u54334613,r49433310
u78473723,r50665889
u43062944,r62746142
u34735877,r42178076
u87841379,r17301448
u07548714,r29554841
u85918538,r73207916
u12527335,r05658499
u39246299,r49150706
u59710197,r73157714
u19525486,r68006886
u38557926,r18094344
u17395794,r30923188
u22275564,r28958590
u52123040,r16418332
u77475968,r70540419
u33955500,r87501560
u03926377,r35790650
u72377186,r72053914
u27665304,r86541828
u65777544,r63245244
u64037564,r07344147
u86859461,r78887073
u91341579,r61132509
u59726619,r13202416
u04434227,r86523556
u49506929,r66085246
u55717904,r49546875
u66546680,r13589653
u79429743,r74634124
u94916019,r56082359
u54021810,r45728764
u22713280,r21275200
u28081585,r78048586
u96166568,r73508278
u85697519,r76037920
u32238230,r99870151
u18224926,r82703612
u61768553,r05905713
u76972757,r74870947
u35333751,r64798534
u61397175,r16024913
u73528797,r61473090
u80201761,r42815784
u09192705,r74925791
u47997651,r97233195
u31652428,r21337424
u29523868,r64570407
u98994714,r10201754
u54876936,r32275804
u11468407,r91837310
u48300774,r74397977
u20705111,r51435269
u73169710,r29959774
u01729651,r00083663
u12283362,r38466506
u03354375,r55060634
u70634301,r46377238
u67391336,r87254472
u82133308,r12527497
u17414272,r26032291
u45364890,r33443254
u41299217,r56851426
u07466503,r85057727
u88160149,r17385163
u61125270,r41950831
u08301740,r45568485
u88075311,r43518065
u12428811,r41493774
u83697951,r34023852
u95584492,r37773407
u59737013,r19787833
u24797291,r20203869
u75914564,r54937759
u94788478,r87175092
u00164282,r29528671
u27242219,r80364351
u77525925,r64795536
u56734211,r62160446
u85031715,r55176056
u88022708,r79394095
u21317513,r93062040
u08358749,r72218011
u39806817,r27143263
u25994431,r59705372
u49837115,r08744755
u38487991,r74258805
u80816545,r76233696
u98767638,r59537432
u85773811,r50160036
u80213133,r89314814
u87635556,r44891606
u22420211,r67461980
u14128250,r30697610
u17524044,r26266714
u76704321,r33188371
u47680896,r78369796
u75356752,r52473235
u66433832,r18914740
u71259313,r03226453
u38437967,r53401023
u16120329,r49976357
u46184607,r36804199
u08508887,r29420308
u21424238,r27711604
u35632929,r70074227
u72839610,r24708168
u80478523,r15638406
u31576739,r89903152
u00522184,r92665572
u71752753,r30277597
u19870483,r07016613
u38246323,r21908764
u05510568,r71530755
u51570603,r19895918
u94298494,r66468331
u73155609,r38168900
u85814381,r66658273
u53480700,r00487749
u81802617,r05298528
u26474410,r63957952
u09784134,r82618854
u23560526,r24771587
u60463778,r61903555
u95450982,r74550041
u28869059,r98953831
u16678778,r19641128
u54797484,r76677651
u06788357,r76531711
u12648340,r77586325
u16099747,r08307361
u64459326,r23381461
u33233584,r16534357
u16558231,r34891721
u94972734,r28123037
u32420442,r38412906
u34549136,r81593532
u25330919,r14019335
u99019096,r84175429
u42584499,r60597510
u80059542,r97500876
u48754105,r63244710
u54454214,r26134935
u32441253,r04499347
u52506892,r51243024
u92404372,r52038383
u88073763,r37238701
u06438981,r04007277
u36905714,r37125407
u82203347,r65475064
u75265072,r05922687
u67302408,r38640160
u10847130,r96271497
u45676816,r51137299
u14973060,r55226216
u33541460,r25978481
u22074416,r61009961
u92801646,r17705430
u98206615,r30007821
u94891064,r48857128
u52998905,r64089090
u93153338,r60204149
u52771415,r42006795
u88495285,r35633571
u60850161,r01376219
u22015179,r63647551
u17350298,r33595942
u41692815,r65136004
u66950078,r97213470
u75423082,r85818926
u96020524,r81560732
u14078117,r50807926
u62236241,r23645586
u78796428,r38728233
u41059050,r38742902
u19582841,r07535927
u56334566,r63707431
u10115101,r65111742
u56750391,r68992382
u84504073,r81986917
u25920863,r52544032
u53523589,r09901744
u60057285,r04772621
u98126377,r36871755
u61502660,r61676224
u03440995,r59754754
u08689648,r54434879
u31352939,r07083534
u76048233,r50466786
u75728132,r49669178
u45894236,r83197559
u79366353,r28470989
u48439611,r39861089
u28514577,r74988103
u79933733,r61764738
u91800663,r26534578
u16642521,r03836120
u55246006,r89135248
u80714328,r37957922
u07914828,r96358696
u27015549,r17841829
u04324658,r14689084
u23604765,r58005807
u85294245,r12179133
u09797759,r17707412
u65441486,r11772789
u08259656,r37370461
u90126224,r96386939
u36254427,r84851145
u67329165,r79653865
u52073158,r95260986
u79774805,r80126489
u76571597,r94074142
